plz,adoption
"10115",8.51
"10117",12.44
"10119",23.59
"10178",11.42
"10179",9.2
"10243",2.69
"10245",12.69
"10247",3.15
"10249",3.18
"10315",1.8
"10317",3.7
"10318",3.66
"10319",0.94
"10365",3.45
"10367",2.43
"10369",2.29
"10405",6.15
"10407",3.78
"10409",1.61
"10435",6.58
"10437",3.88
"10439",2.7
"10551",2.6
"10553",7.74
"10555",3.3
"10557",9.34
"10559",4.99
"10585",3.61
"10587",14.41
"10589",5.06
"10623",10.81
"10625",4.6
"10627",4.73
"10629",12.34
"10707",8.96
"10709",6.03
"10711",7.59
"10713",4.11
"10715",3.04
"10717",4.07
"10719",10.91
"10777",5.24
"10779",2.91
"10781",3.03
"10783",3.68
"10785",24.33
"10787",7.37
"10789",17.67
"10823",3.08
"10825",2.84
"10827",3.12
"10829",21
"10961",12.03
"10963",6.72
"10965",3.61
"10967",2.88
"10969",8.45
"10997",3.95
"10999",3.8
"12043",2.02
"12045",1.8
"12047",2.27
"12049",1.64
"12051",2.05
"12053",2.22
"12055",2.05
"12057",2.27
"12059",1.91
"12099",6.55
"12101",2.32
"12103",11.4
"12105",7.43
"12107",3.51
"12109",2.48
"12157",2.3
"12159",3.99
"12161",3.95
"12163",3.61
"12165",4.72
"12167",2.85
"12169",2.65
"12203",4.38
"12205",5.72
"12207",3.4
"12209",3.43
"12247",3.75
"12249",3.02
"12277",8.98
"12279",1.84
"12305",3.77
"12307",4.98
"12309",2.85
"12347",4.7
"12349",3.11
"12351",3.32
"12353",1.74
"12355",3.39
"12357",3.59
"12359",2.26
"12435",6.38
"12437",2.38
"12439",2.24
"12459",2.79
"12487",3.45
"12489",6.27
"12524",3.21
"12526",14.82
"12527",4.38
"12555",3.15
"12557",2.49
"12559",3
"12587",2.49
"12589",4.65
"12619",1.21
"12621",4.87
"12623",5.31
"12627",1.47
"12629",0.99
"12679",1.21
"12681",4.86
"12683",4.53
"12685",2.48
"12687",1.3
"12689",1.34
"13051",1.76
"13053",3.65
"13055",3.7
"13057",1.68
"13059",1.89
"13086",2.91
"13088",3.64
"13089",5.05
"13125",3.22
"13127",3.81
"13129",4.36
"13156",3.49
"13158",4.18
"13159",3.29
"13187",2.22
"13189",2.34
"13347",2.11
"13349",1.94
"13351",1.35
"13353",2.86
"13355",2.28
"13357",2.24
"13359",2.08
"13403",2.63
"13405",5.82
"13407",2.89
"13409",1.47
"13435",1.4
"13437",3.21
"13439",1.81
"13465",4.83
"13467",4.04
"13469",3.45
"13503",4.88
"13505",4.47
"13507",4.18
"13509",6.25
"13581",3.39
"13583",1.51
"13585",1.94
"13587",2.47
"13589",1.86
"13591",3.54
"13593",2.26
"13595",2.78
"13597",4.12
"13599",3.9
"13627",2.38
"13629",
"14050",4
"14052",4.16
"14053",
"14055",4.87
"14057",5.37
"14059",4.91
"14089",5.86
"14109",5.72
"14129",4.8
"14163",4.81
"14165",3.24
"14167",5.44
"14169",3.62
"14193",5.29
"14195",6.38
"14197",2.91
"14199",5.16
