PLZ,Population
10115,28248
10117,17290
10119,19802
10178,14888
10179,28820
10243,33435
10245,37202
10247,41738
10249,31346
10315,37328
10317,26210
10318,31533
10319,27563
10365,28992
10367,22852
10369,21054
10405,32802
10407,27630
10409,23671
10435,17826
10437,33466
10439,30609
10551,19043
10553,12557
10555,18354
10557,23237
10559,16604
10585,15703
10587,14356
10589,15929
10623,6832
10625,11621
10627,13469
10629,13717
10707,13497
10709,10670
10711,11731
10713,13144
10715,17580
10717,17185
10719,10419
10777,13173
10779,9165
10781,13787
10783,12133
10785,14779
10787,7570
10789,5136
10823,8912
10825,11282
10827,16207
10829,16896
10961,19427
10963,15629
10965,22090
10967,20847
10969,28623
10997,25020
10999,24823
12043,14932
12045,15457
12047,15242
12049,19882
12051,26941
12053,18446
12055,14691
12057,16355
12059,18651
12099,17076
12101,17292
12103,22006
12105,25071
12107,21673
12109,16409
12157,20026
12159,16246
12161,18019
12163,19979
12165,5278
12167,20482
12169,18017
12203,21793
12205,15908
12207,24476
12209,15765
12247,21592
12249,25519
12277,14658
12279,17585
12305,21561
12307,13178
12309,17788
12347,21156
12349,22642
12351,20925
12353,35589
12355,28496
12357,15024
12359,21405
12435,19862
12437,24596
12439,14353
12459,25510
12487,21399
12489,22420
12524,31765
12526,14926
12527,12756
12555,32838
12557,25734
12559,19278
12587,19185
12589,10810
12619,28851
12621,17543
12623,31338
12627,45313
12629,20156
12679,29389
12681,20252
12683,31396
12685,22092
12687,21131
12689,25443
13051,23130
13053,23727
13055,34190
13057,19991
13059,16561
13086,31161
13088,27295
13089,9217
13125,37870
13127,21498
13129,7066
13156,31985
13158,19566
13159,2466
13187,37917
13189,29969
13347,31389
13349,15005
13351,16404
13353,29229
13355,25592
13357,30308
13359,26825
13403,31713
13405,11641
13407,27883
13409,32028
13435,20802
13437,15933
13439,22831
13465,17052
13467,15857
13469,18761
13503,17755
13505,6601
13507,24048
13509,17205
13581,16163
13583,23823
13585,26308
13587,27025
13589,24022
13591,29806
13593,23671
13595,22671
13597,10806
13599,20503
13627,19441
13629,13721
14050,11255
14052,12747
14053,213
14055,11705
14057,14705
14059,23719
14089,20051
14109,11340
14129,15447
14163,16900
14165,15559
14167,18870
14169,18512
14193,18105
14195,16988
14197,18888
14199,17592
13465,17052
13467,15857
13469,18761
13503,17755
13505,6601
13507,24048
13509,17205
13581,16163
13583,23823
13585,26308
13587,27025
13589,24022
13591,29806
13593,23671
13595,22671
13597,3
13597,10803
13599,104
13599,20399
13627,19422
13627,6
13627,13
13629,110
13629,875
13629,12736
14050,11255
14052,12747
14053,213
14055,11705
14057,14705
14059,23719
14089,20051
14109,11340
14129,15447
14163,16900
14165,15559
14167,18870
14169,18512
14193,18096
14193,9
14195,1294
14195,15694
14197,17107
14197,389
14197,1392
14199,17562
14199,30
